code,description,unspecified,sex,age_min,age_max,keywords,notes
E11.9,Type 2 diabetes mellitus without complications,0,,0,120,type 2 diabetes|t2dm|diabetes mellitus type 2|dm2|niddm,
E11.40,Type 2 diabetes mellitus with diabetic neuropathy unspecified,1,,0,120,diabetic neuropathy|diabetes with neuropathy,
E11.42,Type 2 diabetes mellitus with diabetic polyneuropathy,0,,0,120,diabetic polyneuropathy|diabetic peripheral neuropathy|stocking glove numbness,
E11.21,Type 2 diabetes mellitus with diabetic nephropathy,0,,0,120,diabetic nephropathy|diabetic kidney disease early,
E11.22,Type 2 diabetes mellitus with diabetic chronic kidney disease,0,,0,120,diabetic ckd|diabetes with chronic kidney disease,
E11.65,Type 2 diabetes mellitus with hyperglycemia,0,,0,120,diabetes with hyperglycemia|uncontrolled diabetes|poorly controlled diabetes,
E10.9,Type 1 diabetes mellitus without complications,0,,0,120,type 1 diabetes|t1dm|iddm,
R73.03,Prediabetes,0,,0,120,prediabetes|impaired glucose tolerance|borderline diabetes,
I10,Essential (primary) hypertension,0,,0,120,hypertension|htn|high blood pressure|essential hypertension,
I11.0,Hypertensive heart disease with heart failure,0,,0,120,hypertensive heart disease with heart failure,
I50.9,"Heart failure, unspecified",1,,0,120,heart failure|chf|congestive heart failure,
I50.22,Chronic systolic (congestive) heart failure,0,,0,120,chronic systolic heart failure|hfref|reduced ejection fraction,
I50.32,Chronic diastolic (congestive) heart failure,0,,0,120,chronic diastolic heart failure|hfpef|preserved ejection fraction,
I48.91,Unspecified atrial fibrillation,1,,0,120,atrial fibrillation|afib|a-fib,
I25.10,Atherosclerotic heart disease of native coronary artery without angina pectoris,0,,0,120,coronary artery disease|cad|atherosclerotic heart disease|ascvd,
J44.1,Chronic obstructive pulmonary disease with (acute) exacerbation,0,,12,120,copd exacerbation|copd with exacerbation|acute exacerbation of copd|aecopd,
J44.9,"Chronic obstructive pulmonary disease, unspecified",1,,12,120,copd|chronic obstructive pulmonary disease|emphysema chronic bronchitis,
J45.909,Unspecified asthma uncomplicated,1,,0,120,asthma,
J45.41,Moderate persistent asthma with (acute) exacerbation,0,,0,120,moderate persistent asthma with exacerbation|asthma exacerbation moderate persistent,
J18.9,"Pneumonia, unspecified organism",1,,0,120,pneumonia|cap|community acquired pneumonia,
J15.212,Pneumonia due to Methicillin resistant Staphylococcus aureus,0,,0,120,mrsa pneumonia|methicillin resistant staph aureus pneumonia,
J02.0,Streptococcal pharyngitis,0,,0,120,strep throat|streptococcal pharyngitis|group a strep pharyngitis,
J02.9,"Acute pharyngitis, unspecified",1,,0,120,pharyngitis|sore throat acute,
B34.9,"Viral infection, unspecified",1,,0,120,viral infection|viral illness|viral syndrome,
N39.0,"Urinary tract infection, site not specified",1,,0,120,urinary tract infection|uti,
N18.30,"Chronic kidney disease, stage 3 unspecified",1,,0,120,ckd stage 3|chronic kidney disease stage 3,
N18.31,Chronic kidney disease stage 3a,0,,0,120,ckd stage 3a|chronic kidney disease stage 3a,
N18.32,Chronic kidney disease stage 3b,0,,0,120,ckd stage 3b|chronic kidney disease stage 3b,
N40.1,Benign prostatic hyperplasia with lower urinary tract symptoms,0,M,30,120,bph with luts|benign prostatic hyperplasia with urinary symptoms,
E78.5,"Hyperlipidemia, unspecified",1,,0,120,hyperlipidemia|dyslipidemia|high cholesterol,
